time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
21,0.03973,0.025563333,0.023749333,0.015717333,0.020298,0.022243333,0.035278667,0.02666
21.083333,0.039846,0.025593333,0.023835333,0.015605333,0.020442,0.022479333,0.035428667,0.02456
21.166667,0.040194,0.025951333,0.023923333,0.015827333,0.020586,0.023187333,0.035940667,0.02638
21.25,0.040716,0.025951333,0.024215333,0.016023333,0.02102,0.023753333,0.036242667,0.02736
21.333333,0.041094,0.026309333,0.024303333,0.015883333,0.021454,0.023799333,0.036876667,0.02736
21.416667,0.041414,0.026339333,0.024303333,0.015939333,0.02189,0.024129333,0.037088667,0.02807
21.5,0.041792,0.026399333,0.024479333,0.016163333,0.02218,0.024269333,0.037270667,0.02905
21.583333,0.04223,0.026427333,0.024859333,0.016191333,0.02247,0.023561333,0.037422667,0.02891
21.666667,0.04258,0.026785333,0.025269333,0.016303333,0.022616,0.023561333,0.037664667,0.02863
21.75,0.042842,0.026815333,0.025327333,0.016499333,0.022762,0.023609333,0.038088667,0.02905
21.833333,0.042988,0.027055333,0.025827333,0.016331333,0.022762,0.024223333,0.038240667,0.02863
21.916667,0.043076,0.027293333,0.026005333,0.016527333,0.022908,0.024789333,0.038604667,0.03018
22,0.043368,0.027533333,0.026123333,0.016695333,0.023344,0.025355333,0.038664667,0.02821
22.083333,0.043718,0.027833333,0.026095333,0.016975333,0.023488,0.025401333,0.039364667,0.02933
